32,0.00289331,0.000130852,0.000116034,0.000102199,0.000103823
32,0.00210013,9.2784e-05,9.4678e-05,7.722e-05,7.7806e-05
32,0.00169627,9.0762e-05,8.0578e-05,7.5617e-05,6.9288e-05
32,0.00161113,7.8532e-05,7.8999e-05,8.3344e-05,6.7173e-05
32,0.0017032,7.621e-05,0.00021959,5.7094e-05,5.4324e-05
64,0.00385438,0.000351873,0.000325981,0.000267933,0.000260129
64,0.00263392,0.000345628,0.000390453,0.000265866,0.000416191
64,0.00190406,0.000344178,0.000336742,0.000212406,0.000378026
64,0.00206601,0.000482567,0.000325922,0.000228493,0.000201521
64,0.00209481,0.000577592,0.00044485,0.00028462,0.000216055
128,0.00413931,0.00319152,0.00241503,0.00137772,0.00107717
128,0.00874011,0.00302099,0.00149288,0.00073866,0.00068695
128,0.00447129,0.00247391,0.00155078,0.00981799,0.00124625
128,0.00465633,0.00177786,0.00152121,0.00075645,0.000747841
128,0.00621692,0.00161842,0.00203529,0.000803812,0.00107439
256,0.0130576,0.00905668,0.0112675,0.00537346,0.0116347
256,0.0127056,0.00862796,0.00806404,0.00343239,0.00430189
256,0.0123236,0.00784392,0.0132171,0.00464251,0.00606764
256,0.0330108,0.008333,0.0119069,0.00363867,0.00377469
256,0.00969135,0.0121913,0.00722766,0.00705301,0.00314499
512,0.0305431,0.0394154,0.045048,0.0198343,0.0120652
512,0.0367339,0.0744439,0.0517641,0.0217018,0.0241877
512,0.0470193,0.0436202,0.0729031,0.0124043,0.0190211
512,0.0422381,0.052754,0.0644489,0.0122694,0.0499311
512,0.0617729,0.0764259,0.0618838,0.0131938,0.0327072
1024,0.117651,0.166376,0.152108,0.0423956,0.0536223
1024,0.0815797,0.158916,0.155333,0.0514337,0.0558609
1024,0.0700169,0.151276,0.145214,0.041283,0.0516442
1024,0.0798431,0.146846,0.145343,0.0376161,0.0527706
1024,0.0676338,0.146762,0.146319,0.0444521,0.0514193
2048,0.317745,0.710558,0.687046,0.189803,0.172104
2048,0.245642,0.74396,0.636935,0.208666,0.200765
2048,0.246005,0.65485,0.64568,0.197212,0.195592
2048,0.219912,0.668061,0.637367,0.190156,0.185141
2048,0.225832,0.645431,0.653203,0.195809,0.188311
4096,0.711828,2.89281,3.01269,1.03627,0.666488
4096,0.674869,2.62999,2.53559,0.65103,0.661265
4096,0.654472,2.80922,2.92625,0.740945,0.774197
4096,0.730814,3.58678,3.43067,0.960408,0.799851
4096,0.865535,3.2811,3.00473,0.743083,0.721976
